对比维度,功能项,华为,中兴,华三,烽火,诺基亚,爱立信,备注
网管平台,统一管理平台,iMaster NCE/eSight,ZENIC ONE/NetNumen,SeerEngine/绿洲,烽智网管,Altiplano,ENM,华为/中兴/华三较强
网管平台,拓扑管理,支持,支持,支持,支持,支持,支持,均支持
网管平台,配置管理,批量/模板,批量配置,配置管理,配置管理,支持,支持,华为模板能力最强
网管平台,性能管理,Telemetry秒级,性能管理,性能分析,性能管理,支持,支持,华为Telemetry领先
网管平台,告警管理,根因分析,告警管理,告警管理,告警管理,支持,支持,华为根因分析能力强
网管平台,SLA管理,业务级SLA,基础SLA,基础SLA,弱,支持,支持,华为SLA最完整
网管平台,智能运维,AI分析预测,基础智能,智能诊断,有限,AI支持,AI支持,华为AI能力最强
PON网管,ONU即插即用,自动发现配置,即插即用,零配置,自动发现,支持,支持,均支持
PON网管,光功率监控,实时监控趋势,光功率管理,光链路诊断,光功率监控,支持,支持,华为光功率管理最细
PON网管,流氓ONU检测,自动检测隔离,流氓ONU检测,未明确,有限,支持,支持,华为/中兴较强
PON网管,光模块管理,生命周期管理,光模块管理,生命周期预测,基础,支持,支持,华为生命周期管理完整
PON网管,PON口保护管理,Type B/C/D,保护配置,未明确,保护管理,支持,支持,华三保护管理未明确
PON网管,批量升级,支持,支持,支持,支持,支持,支持,均支持
协议支持,ITU-T G.984 GPON,完整支持,完整支持,支持,支持,支持,支持,均完整支持
协议支持,ITU-T G.988 OMCI,完整支持,完整支持,支持,支持,支持,支持,均完整支持
协议支持,IEEE 802.3ah EPON,完整支持,完整支持,完整支持,支持,支持,支持,华三EPON强
协议支持,IEEE 802.3av 10G EPON,完整支持,支持,支持,有限,支持,支持,华为最完整
协议支持,ITU-T G.987 XG-PON,完整支持,支持,部分,有限,支持,支持,华为最完整
协议支持,ITU-T G.9807 XGS-PON,完整支持,支持,部分,有限,支持,支持,华为最完整
协议支持,ITU-T G.9804 50G PON,演进支持,规划中,不支持,规划中,规划中,规划中,华为领先
协议支持,Combo PON,支持,支持,未明确,有限,支持,支持,华三Combo未明确
二层协议,IEEE 802.1Q VLAN,4K VLAN,4K VLAN,4K VLAN,4K VLAN,4K VLAN,4K VLAN,均支持
二层协议,IEEE 802.1ad QinQ,灵活QinQ,支持,支持,基础,支持,支持,华为灵活QinQ强
二层协议,IEEE 802.1X认证,支持,支持,支持,支持,支持,支持,均支持
二层协议,IGMP v1/v2/v3,全版本,全版本,全版本,全版本,全版本,全版本,均支持
二层协议,MLD v1/v2,支持,支持,有限,有限,支持,支持,华三/烽火有限
二层协议,LACP链路聚合,支持,支持,支持,支持,支持,支持,均支持
二层协议,ERPS G.8032,支持,支持,支持,支持,支持,支持,均支持
三层协议,IPv4/IPv6双栈,完整支持,完整支持,支持,支持,支持,支持,均支持
三层协议,OSPF v2/v3,支持,支持,支持,有限,支持,支持,烽火OSPF有限
三层协议,IS-IS,支持,有限,支持,不支持,支持,支持,烽火不支持IS-IS
三层协议,BGP,支持,有限,支持,不支持,支持,支持,烽火不支持BGP
三层协议,PIM-SM/SSM,支持,支持,有限,有限,支持,支持,华三/烽火有限
管理协议,SNMP v1/v2c/v3,全版本,全版本,全版本,v1/v2c,全版本,全版本,烽火SNMPv3弱
管理协议,TR-069 ONU管理,支持,支持,支持,支持,支持,支持,均支持
管理协议,OAM 802.3ah,支持,支持,支持,支持,支持,支持,均支持
管理协议,CFM 802.1ag,支持,支持,有限,有限,支持,支持,华三/烽火有限
管理协议,Y.1731性能监测,支持,支持,有限,有限,支持,支持,华三/烽火有限
管理协议,NETCONF/YANG,支持,支持,支持,有限,支持,支持,烽火NETCONF弱
管理协议,Telemetry,支持,有限,有限,不支持,支持,支持,华为Telemetry领先
VLAN功能,Standard VLAN,支持,支持,支持,支持,支持,支持,均支持
VLAN功能,Smart/MUX VLAN,支持,支持,支持,支持,支持,支持,均支持
VLAN功能,QinQ Stacking,灵活QinQ,支持,支持,基础,支持,支持,华为灵活QinQ强
VLAN功能,VLAN Mapping,支持,支持,支持,支持,支持,支持,均支持
VLAN功能,Super VLAN,支持,有限,支持,不支持,支持,支持,烽火不支持
VLAN功能,Private VLAN,支持,有限,支持,不支持,支持,支持,烽火不支持
VLAN功能,VXLAN数据中心,支持,有限,支持,不支持,支持,支持,烽火不支持
QoS功能,T-CONT带宽类型,Type1/2/3/4/5,全类型,有限,有限,全类型,全类型,华三/烽火有限
QoS功能,DBA动态带宽分配,标准DBA,标准DBA,基础DBA,基础DBA,标准DBA,标准DBA,华三/烽火基础DBA
QoS功能,流量整形Shaping,支持,支持,支持,支持,支持,支持,均支持
QoS功能,流量监管Policing,支持,支持,支持,支持,支持,支持,均支持
QoS功能,802.1p优先级,8级,8级,8级,8级,8级,8级,均支持
QoS功能,队列调度WRR/SP/PQ,全支持,全支持,支持,有限,全支持,全支持,烽火有限
组播功能,IGMP Proxy,支持,支持,支持,支持,支持,支持,均支持
组播功能,IGMP Snooping,支持,支持,支持,支持,支持,支持,均支持
组播功能,IGMP Fast Leave,支持,支持,支持,有限,支持,支持,烽火有限
组播功能,可控组播,支持,支持,支持,有限,支持,支持,烽火有限
组播功能,跨VLAN组播复制,支持,支持,有限,有限,支持,支持,华三/烽火有限
安全功能,SN认证,支持,支持,支持,支持,支持,支持,均支持
安全功能,LOID认证,支持,支持,有限,有限,支持,支持,华三/烽火有限
安全功能,Password认证,支持,支持,支持,支持,支持,支持,均支持
安全功能,MAC认证802.1X,支持,支持,支持,支持,支持,支持,均支持
安全功能,Portal认证,支持,支持,支持,有限,支持,支持,烽火Portal弱
安全功能,GEM Port加密AES-128,支持,支持,未明确,有限,支持,支持,华三未明确
安全功能,光切片硬隔离,支持,有限,未明确,不支持,支持,支持,华为光切片领先
安全功能,防MAC欺骗,支持,支持,支持,有限,支持,支持,烽火有限
安全功能,防IP欺骗,支持,有限,支持,有限,支持,支持,中兴/烽火有限
安全功能,DHCP Snooping,支持,支持,支持,支持,支持,支持,均支持
安全功能,ARP Inspection,支持,有限,支持,有限,支持,支持,中兴/烽火有限
PON保护,Type B单归属,支持,支持,未明确,支持,支持,支持,华三未明确
PON保护,Type B双归属,支持,支持,未明确,支持,支持,支持,华三未明确
PON保护,Type C单归属,支持,支持,未明确,有限,支持,支持,华三未明确
PON保护,Type C双归属,支持,有限,未明确,有限,有限,有限,华为最完整
PON保护,Type D双PON口ONU,支持,有限,不支持,不支持,有限,有限,华为Type D领先
设备保护,主控板1+1冗余,支持,支持,支持,支持,支持,支持,均支持
设备保护,电源板1+1冗余,支持,支持,支持,支持,支持,支持,均支持
设备保护,上行口LAG,支持,支持,支持,支持,支持,支持,均支持
设备保护,板间LAG,支持,支持,支持,有限,支持,支持,烽火有限
网络保护,ERPS G.8032,支持,支持,支持,支持,支持,支持,均支持
网络保护,BFD双向转发检测,支持,支持,支持,有限,支持,支持,烽火有限
网络保护,Monitor Link,支持,有限,有限,有限,支持,支持,华为领先
开放接口,RESTful API,丰富API,支持,支持,有限,支持,支持,烽火API弱
开放接口,Python SDK,支持,有限,有限,不支持,支持,支持,华为开放性强
开放接口,Java SDK,支持,支持,支持,有限,支持,支持,烽火SDK弱
开放接口,OSS/BSS集成,成熟方案,支持,支持,有限,支持,支持,华为集成最成熟
开放接口,云平台OpenStack,支持,支持,支持,有限,支持,支持,烽火云集成弱
