一级规格	二级规格	三级规格	四级规格	规格描述	锐捷N18E-XB	锐捷N18E-HCA	华为MA5800G	差异	控标说明	锐捷参考位置	华为参考章节
ACL and QoS	ACL	ACL重定向			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	IPv6 ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	IP扩展ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	IP标准ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	MAC扩展ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	专家级ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	全局ACL	支持基于全局关联ACL	支持第三方设置全局ACL是否生效API	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	在不同物理口/SVI口应用相同ACL	SVI口仅支持入方向复用	资源可以复用。SVI口仅支持入方向复用	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于VLAN关联入口ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于VLAN关联出口ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于VxLAN的VNI关联入口ACL			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于VxLAN的VNI关联出口ACL			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于三层子接口关联入口ACL			✅ 支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于三层子接口关联出口ACL			✅ 支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于三层接口关联入口ACL		SVI/ROUTED PORT/L3 AP	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于三层接口关联出口ACL		SVI/ROUTED PORT/L3 AP	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于二层接口关联入口ACL		物理接口/AP	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于二层接口关联出口ACL		物理接口/AP	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	基于时间的ACL			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持ACL COUNTER	支持ACL COUNTER(端口和全局支持出入方向counter)	支持ACL COUNTER(端口和全局支持出入方向counter)	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持ACL COUNTER ONLY		支持counter only，IPv6也需要支持	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持ACL LOGGING			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持ACL REMARK			✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持IPv4 UDF ACL			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持IPv6 UDF ACL			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持显示ACL资源占用情况		参考以下2个命令：  Ruijie#show acl res  Ruijie#show acl res detail	✅ 支持	✅ 支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	ACL	支持自反ACL			❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS ACL	支持MPLS标签匹配		支持匹配多层标签(能够匹配Label、EXP、TTL域)	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS ACL	支持内层IPv6匹配		支持内层SIPv6/DIPv6匹配	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
ACL and QoS	MPLS ACL	支持内层IP匹配		支持内层SIP/DIP匹配	❌ 不支持	❌ 不支持	✅ 支持	持平 ✅		12.6SPJ48 SPEC Sheet3	MA5800特性指南09 / ACL and QoS
